lr,use_lr_schedule,hidden_dim,head_dim,batch_size,n_params,best_tgt_acc,final_tgt_acc,final_src_acc
0.001,False,256,512,128,-1,0.714400,0.707600,0.987800
0.001,False,192,512,128,-1,0.708200,0.701800,0.979900
0.001,False,128,512,128,-1,0.706400,0.690600,0.983500
0.002,False,128,512,128,-1,0.704600,0.674200,0.981500
0.002,False,192,512,128,-1,0.702800,0.693200,0.985900
0.001,False,192,256,128,-1,0.699000,0.691600,0.985700
0.002,False,128,256,128,-1,0.698600,0.649400,0.978300
0.002,False,256,512,128,-1,0.698000,0.666800,0.983300
0.005,True,192,512,128,-1,0.695800,0.695800,0.986400
0.005,True,128,512,128,-1,0.693000,0.687600,0.984700
0.005,True,128,256,128,-1,0.691000,0.676200,0.984500
0.001,False,256,256,128,-1,0.686400,0.673600,0.987800
0.002,False,128,512,256,-1,0.686200,0.647600,0.976000
0.002,False,192,512,256,-1,0.685800,0.588800,0.931700
0.001,False,128,256,128,-1,0.676600,0.664000,0.978400
0.001,False,192,512,256,-1,0.662400,0.662400,0.985400
0.002,False,256,512,256,-1,0.645200,0.608800,0.980200
0.001,False,128,256,256,-1,0.640200,0.640200,0.985200
0.001,False,256,512,256,-1,0.632400,0.629200,0.981100
0.002,False,192,256,128,-1,0.613200,0.098800,0.098200
0.005,True,128,512,256,-1,0.610800,0.510800,0.944800
0.002,False,128,256,256,-1,0.609800,0.121000,0.113500
0.002,False,256,256,128,-1,0.599200,0.114800,0.113500
0.002,False,192,256,256,-1,0.597000,0.114800,0.113500
0.001,False,256,256,256,-1,0.581600,0.578400,0.976600
0.001,False,192,256,256,-1,0.581400,0.532000,0.964100
0.005,True,256,256,128,-1,0.581000,0.114800,0.113500
0.001,False,128,512,256,-1,0.572800,0.543400,0.964300
0.005,True,192,256,256,-1,0.568400,0.114800,0.113500
0.005,True,128,256,256,-1,0.546800,0.441000,0.977800
0.002,False,256,256,256,-1,0.539200,0.114800,0.113500
0.005,True,256,512,128,-1,0.515400,0.465400,0.941500
0.005,True,256,256,256,-1,0.504000,0.114800,0.113500
0.005,True,192,512,256,-1,0.500200,0.112200,0.113500
0.005,True,192,256,128,-1,0.494000,0.461600,0.979300
0.005,True,256,512,256,-1,0.461400,0.113400,0.113300
