color_space,blur_method,bilateral_d,gaussian_ksize,use_clahe,polarity_margin,accuracy
hsv,gaussian,5,3,False,0.3,0.536400
hsv,gaussian,5,3,False,0.2,0.527800
hsv,none,5,3,False,0.3,0.526200
hsv,bilateral,5,3,False,0.3,0.523800
hsv,bilateral,9,3,False,0.3,0.519600
hsv,none,5,3,False,0.2,0.517800
hsv,bilateral,5,3,False,0.2,0.513000
hsv,none,5,3,True,0.3,0.512200
hsv,bilateral,9,3,False,0.2,0.511400
hsv,none,5,3,True,0.2,0.509800
hsv,gaussian,5,3,True,0.3,0.509200
hsv,gaussian,5,3,False,0.1,0.507200
hsv,gaussian,5,5,False,0.3,0.504000
lab,gaussian,5,3,True,0.3,0.501200
lab,gaussian,5,3,True,0.2,0.500800
hsv,gaussian,5,5,False,0.2,0.498000
hsv,none,5,3,False,0.1,0.496400
hsv,gaussian,5,3,True,0.2,0.494400
hsv,bilateral,5,3,False,0.1,0.492000
hsv,gaussian,5,5,True,0.3,0.491200
lab,gaussian,5,5,True,0.3,0.489800
hsv,bilateral,9,3,False,0.1,0.488200
gray,gaussian,5,3,True,0.3,0.487400
hsv,gaussian,5,5,False,0.1,0.485400
gray,gaussian,5,3,True,0.2,0.483200
lab,gaussian,5,5,True,0.2,0.481200
hsv,none,5,3,True,0.1,0.478800
hsv,gaussian,5,5,True,0.2,0.478800
hsv,bilateral,9,3,True,0.3,0.474800
lab,none,5,3,True,0.3,0.470600
hsv,bilateral,9,3,True,0.2,0.469400
gray,gaussian,5,5,True,0.3,0.469200
hsv,gaussian,5,3,True,0.1,0.468800
lab,gaussian,5,3,True,0.1,0.466400
hsv,bilateral,5,3,True,0.3,0.464800
lab,none,5,3,False,0.3,0.463200
hsv,gaussian,5,5,True,0.1,0.463000
lab,bilateral,9,3,True,0.3,0.461800
lab,none,5,3,True,0.2,0.461200
lab,none,5,3,False,0.2,0.459400
lab,bilateral,5,3,False,0.3,0.459200
lab,gaussian,5,5,True,0.1,0.456200
gray,gaussian,5,5,True,0.2,0.456000
lab,bilateral,5,3,False,0.2,0.455400
hsv,bilateral,5,3,True,0.2,0.455400
lab,bilateral,9,3,True,0.2,0.454200
lab,bilateral,9,3,False,0.3,0.454000
gray,none,5,3,True,0.3,0.453800
lab,bilateral,5,3,True,0.3,0.453600
lab,bilateral,9,3,False,0.2,0.453400
gray,none,5,3,True,0.2,0.452400
lab,gaussian,5,3,False,0.3,0.451400
gray,bilateral,9,3,True,0.3,0.448800
lab,gaussian,5,3,False,0.2,0.448800
hsv,bilateral,9,3,True,0.1,0.447200
gray,gaussian,5,3,True,0.1,0.446800
lab,bilateral,5,3,True,0.2,0.446800
lab,none,5,3,False,0.1,0.446200
gray,bilateral,9,3,True,0.2,0.445000
gray,bilateral,5,3,True,0.3,0.442600
gray,none,5,3,False,0.2,0.442400
lab,bilateral,5,3,False,0.1,0.441800
gray,none,5,3,False,0.3,0.441600
lab,bilateral,9,3,False,0.1,0.439200
gray,bilateral,5,3,False,0.3,0.436600
gray,bilateral,9,3,False,0.2,0.436400
gray,bilateral,5,3,False,0.2,0.436400
gray,bilateral,9,3,False,0.3,0.435200
lab,none,5,3,True,0.1,0.433400
gray,bilateral,5,3,True,0.2,0.433000
lab,gaussian,5,3,False,0.1,0.432400
gray,none,5,3,True,0.1,0.431000
lab,bilateral,9,3,True,0.1,0.429800
gray,none,5,3,False,0.1,0.427200
lab,gaussian,5,5,False,0.2,0.425200
lab,gaussian,5,5,False,0.3,0.425000
gray,gaussian,5,5,True,0.1,0.424800
hsv,bilateral,5,3,True,0.1,0.423600
gray,bilateral,5,3,False,0.1,0.422200
gray,bilateral,9,3,False,0.1,0.420800
gray,gaussian,5,3,False,0.2,0.419000
gray,gaussian,5,3,False,0.3,0.417800
gray,bilateral,9,3,True,0.1,0.416000
lab,gaussian,5,5,False,0.1,0.411800
lab,bilateral,5,3,True,0.1,0.405600
gray,gaussian,5,3,False,0.1,0.404800
gray,bilateral,5,3,True,0.1,0.398800
gray,gaussian,5,5,False,0.2,0.392200
gray,gaussian,5,5,False,0.3,0.389000
gray,gaussian,5,5,False,0.1,0.380800
