crop_size,color_space,blur_method,bilateral_d,gaussian_ksize,use_clahe,polarity_margin,accuracy
32,hsv,gaussian,5,3,True,0.3,0.236800
32,hsv,gaussian,5,5,True,0.3,0.236000
26,hsv,gaussian,5,3,True,0.3,0.235600
26,hsv,gaussian,5,5,True,0.3,0.232400
32,gray,gaussian,5,5,True,0.3,0.232400
26,gray,gaussian,5,3,True,0.3,0.232000
32,lab,gaussian,5,3,True,0.3,0.231600
26,hsv,gaussian,5,3,True,0.2,0.231200
32,gray,gaussian,5,5,True,0.2,0.231200
32,gray,gaussian,5,3,True,0.3,0.230800
26,lab,gaussian,5,3,True,0.3,0.228600
32,lab,gaussian,5,3,True,0.2,0.228400
32,lab,gaussian,5,5,True,0.3,0.228400
26,hsv,gaussian,5,5,True,0.2,0.228000
32,gray,gaussian,5,3,True,0.2,0.228000
32,gray,gaussian,5,3,True,0.1,0.227600
32,lab,gaussian,5,5,True,0.2,0.226400
26,gray,bilateral,5,3,True,0.3,0.226400
32,gray,bilateral,5,3,True,0.3,0.226200
32,lab,gaussian,5,3,True,0.1,0.225200
26,gray,gaussian,5,5,True,0.3,0.224800
26,gray,gaussian,5,3,True,0.2,0.224800
32,hsv,gaussian,5,5,True,0.2,0.224600
22,lab,gaussian,5,5,True,0.2,0.223200
26,lab,bilateral,5,3,True,0.3,0.223000
22,lab,gaussian,5,5,True,0.3,0.223000
32,hsv,gaussian,5,3,True,0.2,0.223000
26,lab,gaussian,5,3,True,0.2,0.222400
26,gray,bilateral,5,3,True,0.2,0.221800
32,gray,gaussian,5,5,True,0.1,0.221800
32,hsv,bilateral,5,3,True,0.3,0.221600
26,hsv,gaussian,5,3,True,0.1,0.221400
26,lab,gaussian,5,5,True,0.3,0.221200
26,hsv,bilateral,5,3,True,0.3,0.221000
32,lab,bilateral,5,3,True,0.3,0.220600
32,lab,gaussian,5,5,True,0.1,0.219800
26,hsv,gaussian,5,5,True,0.1,0.219200
32,hsv,gaussian,5,5,True,0.1,0.219200
26,lab,bilateral,5,3,True,0.2,0.219000
26,hsv,bilateral,5,3,True,0.2,0.219000
32,hsv,gaussian,5,3,True,0.1,0.218800
22,hsv,gaussian,5,5,True,0.3,0.218600
26,lab,gaussian,5,5,True,0.2,0.218400
22,hsv,gaussian,5,3,True,0.3,0.218200
22,gray,gaussian,5,5,True,0.3,0.217600
22,gray,gaussian,5,5,True,0.2,0.217400
32,lab,none,5,3,True,0.3,0.217400
22,gray,gaussian,5,3,True,0.2,0.217200
26,lab,gaussian,5,3,True,0.1,0.216400
26,lab,none,5,3,True,0.3,0.216000
26,gray,gaussian,5,5,True,0.2,0.215800
26,lab,gaussian,5,5,True,0.1,0.215600
32,gray,bilateral,5,3,True,0.2,0.214800
26,gray,gaussian,5,5,True,0.1,0.214800
26,gray,gaussian,5,3,True,0.1,0.214800
32,hsv,none,5,3,True,0.3,0.214200
26,gray,none,5,3,True,0.3,0.213400
32,gray,bilateral,5,3,True,0.1,0.213200
22,hsv,gaussian,5,3,True,0.2,0.212800
32,hsv,bilateral,5,3,True,0.2,0.212600
22,gray,gaussian,5,3,True,0.3,0.212600
22,hsv,gaussian,5,5,True,0.2,0.212600
32,gray,none,5,3,True,0.3,0.212400
22,lab,gaussian,5,5,True,0.1,0.212000
26,hsv,none,5,3,True,0.3,0.211800
32,lab,bilateral,5,3,True,0.2,0.211000
26,hsv,bilateral,9,3,True,0.3,0.210400
26,lab,bilateral,5,3,True,0.1,0.210200
32,lab,bilateral,5,3,True,0.1,0.209600
26,gray,bilateral,5,3,True,0.1,0.209200
22,lab,gaussian,5,3,True,0.2,0.209000
32,gray,bilateral,9,3,True,0.3,0.208800
26,hsv,none,5,3,True,0.2,0.208800
26,lab,bilateral,9,3,True,0.3,0.208600
26,gray,bilateral,9,3,True,0.2,0.208600
32,lab,bilateral,9,3,True,0.3,0.208200
32,hsv,bilateral,9,3,True,0.3,0.208000
26,lab,none,5,3,True,0.2,0.208000
26,hsv,bilateral,5,3,True,0.1,0.208000
22,gray,bilateral,5,3,True,0.2,0.207800
26,gray,none,5,3,True,0.1,0.207200
32,hsv,bilateral,9,3,True,0.2,0.207200
22,hsv,gaussian,5,5,True,0.1,0.207000
26,gray,none,5,3,True,0.2,0.207000
22,lab,gaussian,5,3,True,0.3,0.207000
26,lab,none,5,3,True,0.1,0.206600
26,gray,bilateral,9,3,True,0.3,0.206400
26,lab,bilateral,9,3,True,0.2,0.206200
26,hsv,bilateral,9,3,True,0.2,0.205600
32,hsv,bilateral,5,3,True,0.1,0.205000
22,hsv,gaussian,5,3,True,0.1,0.204800
